amfi_code,annual_return_pct,annual_volatility_pct,sharpe_ratio,sortino_ratio,scheme_name,fund_house,sharpe_rank,sortino_rank
148567,27.056620166916662,14.193706754620289,1.448291170326253,2.3856443733687978,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,1.0,1.0
120843,27.260223833934706,15.886986523609197,1.306743969542841,2.3643200321667095,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,2.0,2.0
148569,28.326161538880395,17.674006691346634,1.234930025774331,2.14691392634605,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,3.0,3.0
119551,23.10331546138706,13.741434141879585,1.2082665673727138,2.140267129061778,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,4.0,4.0
120505,29.26527249840699,19.29094940631813,1.180101197660648,2.029352940465737,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,5.0,5.0
149323,26.590814851466867,17.74615939755078,1.132121852474721,1.8751010639191963,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,6.0,6.0
100033,27.21105684715233,18.936710835214104,1.0936987435346328,1.829133961514691,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,7.0,8.0
118632,21.80369513249992,14.148352294996592,1.081659179345704,1.850132546855717,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,8.0,7.0
101206,21.464662400230207,14.568212847454266,1.0272133278753695,1.799562874698445,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,9.0,10.0
120504,21.24476957328334,14.363780566736594,1.0265242847992981,1.8052937940992424,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,10.0,9.0
119094,25.872785977673896,19.407117423334658,0.9982309868636399,1.7037974802462925,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,11.0,11.0
119552,19.788113344481626,13.93936761271744,0.9532794968660092,1.6097764896282987,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,12.0,15.0
149324,30.0931229977171,24.840205005242044,0.9497958246616011,1.6197931764914024,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,13.0,14.0
119598,30.26559657235119,25.140578624384613,0.9453082575156091,1.675316570012547,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,14.0,12.0
148568,20.79182129335921,15.42914446982323,0.9262873467360143,1.6327409778735096,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,15.0,13.0
102885,16.988800557692755,12.836628397860498,0.8170993373494354,1.4357420130649396,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,16.0,16.0
120503,17.579404292470567,13.88443751311973,0.7979728586052822,1.3379431500669132,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,17.0,17.0
125497,17.879963802436674,14.668866752399456,0.7757902498211185,1.3306512447571266,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,18.0,18.0
118635,15.131944040863498,12.983158874316247,0.6648569985490604,1.1379767187807344,Nippon India ETF Nifty 50 BeES,Nippon India MF,19.0,20.0
120506,16.382758819054967,15.230516379673004,0.6488787755249534,1.0958951614736425,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,20.0,21.0
118633,15.531106361835656,13.997213649186094,0.6452074382933202,1.1544757169236162,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,21.0,19.0
