amfi_code,alpha_pct,beta,r_squared,scheme_name,fund_house,alpha_rank
119598,30.336965386983255,-0.023196062044059523,0.00014142575502721583,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,1.0
149324,30.05787817097667,0.011455159960520949,3.5329906267957286e-05,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,2.0
120505,29.263583341750955,0.0005490042506316404,1.345534167566543e-07,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,3.0
148569,28.27036785246577,0.01813388408385939,0.00017488886568129962,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,4.0
120843,27.330465038305977,-0.0228295697924266,0.00034305434271514925,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,5.0
100033,27.1953545012853,0.005103525830528342,1.2066520635068389e-05,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,6.0
148567,26.983751441917885,0.02368355807584855,0.00046254369066238573,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,7.0
149323,26.598577542042907,-0.002523004664698887,3.357978192007926e-06,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,8.0
119094,26.076669080042137,-0.06626542862803703,0.0019368789369602112,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,9.0
119551,23.20100716063496,-0.03175144113890953,0.000886978887932278,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,10.0
118632,21.82939790460857,-0.008353832126962031,5.7917562701278965e-05,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,11.0
101206,21.39978477605115,0.02108631625012788,0.0003480482030714232,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,12.0
120504,21.194827013525636,0.016232169761416938,0.00021216129075887462,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,13.0
148568,20.873010086942273,-0.026387719943842824,0.00048592647527972917,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.0
119552,19.868599366862885,-0.0261593075135132,0.0005850821704543386,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,15.0
125497,17.729754927531687,0.04882040425957705,0.0018401792783071479,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,16.0
120503,17.70330236584399,-0.04026895236982024,0.001397444608331848,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,17.0
118634,17.500721675611196,0.10349663691337543,0.0027930065610663117,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,18.0
102885,17.04875680341263,-0.019486785689474567,0.00038285030730924376,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,19.0
120506,16.253853279981,0.041896462728119595,0.0012571178108220736,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,20.0
102887,16.21125679403321,0.01668268943777073,0.00018619166432850106,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,21.0
118633,15.64383594816961,-0.036639006718609174,0.0011382947171084273,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,22.0
118635,15.136354648239184,-0.0014335213897801705,2.025340897232968e-06,Nippon India ETF Nifty 50 BeES,Nippon India MF,23.0
149322,13.17319022609936,-0.004050271130006789,1.3227607880852238e-05,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,24.0
120841,13.042924450705362,0.036356399022199545,0.0012113711061211814,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,25.0
125498,11.9891009712179,0.009054412621739269,4.043746553634372e-05,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,26.0
101207,10.89709190170452,-0.06528924788351503,0.0010641052735572605,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,27.0
119093,8.232801295222025,0.025883212440092746,0.0005692038090244746,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,28.0
120842,7.804438876154987,0.018056874208118155,0.00016915548838314468,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,29.0
119092,6.899529821677521,0.009730745001153597,8.082637693810779e-05,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,30.0
120507,6.746210411098824,-0.0004440926329706651,0.00013430661440678754,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,31.0
120844,6.45567749537528,-0.0004007442394783572,0.0001012543569227128,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,32.0
101208,6.086145795786478,0.00026670968338229656,4.6076236771030764e-05,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,33.0
119120,5.620895216638266,-0.0064138507282765315,0.0004342603321720258,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,34.0
118636,5.074772999975999,0.0012566742731554936,1.651665231032402e-05,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,35.0
119599,4.88242159455394,0.06200180438267142,0.0010259205326765932,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,36.0
119095,4.801595363775957,-0.06695117463929191,0.0011851593464486739,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,37.0
100025,4.28179203150603,0.0011582183155282456,1.4612842041847991e-05,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,38.0
100016,3.7475807634432865,-0.058268431438808874,0.002665032698133343,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,39.0
102886,2.896939786637925,-0.04212502902189415,0.0008964294600687568,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,40.0
